company_id,fiscal_year,computed_eps,published_eps,eps_rel_error_pct,computed_pe,published_pe,pe_rel_error_pct,check_scope,source_url
nvidia,2024,1.204858,1.193,0.994,187.5075,,,historical,https://www.marketscreener.com/quote/stock/NVIDIA-CORPORATION-57355629/finances/
nvidia,2025,2.975909,2.94,1.221,75.9163,,,historical,https://www.marketscreener.com/quote/stock/NVIDIA-CORPORATION-57355629/finances/
nvidia,2026,4.941232,4.9,0.841,45.7214,,,forecast,https://www.marketscreener.com/quote/stock/NVIDIA-CORPORATION-57355629/finances/
nvidia,2027,10.037189,9.971,0.664,22.6577,22.5,0.701,forecast,https://www.marketscreener.com/quote/stock/NVIDIA-CORPORATION-57355629/finances/
nvidia,2028,15.361080,15.3,0.399,14.7660,14.7,0.449,forecast,https://www.marketscreener.com/quote/stock/NVIDIA-CORPORATION-57355629/finances/
tsmc,2024,45.242744,45.25,0.016,52.7156,,,historical,https://www.marketscreener.com/quote/stock/TSMC-TAIWAN-SEMICONDUCTOR-6492349/finances/
tsmc,2025,66.244342,66.25,0.009,36.0031,,,historical,https://www.marketscreener.com/quote/stock/TSMC-TAIWAN-SEMICONDUCTOR-6492349/finances/
tsmc,2026,106.771961,107.4,0.585,22.2067,22.2,0.030,forecast,https://www.marketscreener.com/quote/stock/TSMC-TAIWAN-SEMICONDUCTOR-6492349/finances/
tsmc,2027,140.300597,141.2,0.637,16.8909,16.9,0.054,forecast,https://www.marketscreener.com/quote/stock/TSMC-TAIWAN-SEMICONDUCTOR-6492349/finances/
tsmc,2028,175.988311,178.7,1.517,13.5520,,,forecast,https://www.marketscreener.com/quote/stock/TSMC-TAIWAN-SEMICONDUCTOR-6492349/finances/
broadcom,2024,1.262157,1.23,2.614,271.7966,,,historical,https://www.marketscreener.com/quote/stock/BROADCOM-INC-42668543/finances/
broadcom,2025,4.897123,4.77,2.665,70.0513,,,historical,https://www.marketscreener.com/quote/stock/BROADCOM-INC-42668543/finances/
broadcom,2026,9.571463,9.222,3.789,37.1991,39.8,6.535,forecast,https://www.marketscreener.com/quote/stock/BROADCOM-INC-42668543/finances/
broadcom,2027,16.704501,16.41,1.795,20.9049,22.4,6.674,forecast,https://www.marketscreener.com/quote/stock/BROADCOM-INC-42668543/finances/
broadcom,2028,25.084812,25.5,1.628,13.6756,,,forecast,https://www.marketscreener.com/quote/stock/BROADCOM-INC-42668543/finances/
samsung-electronics,2024,4949.600812,4950,0.008,50.6101,,,historical,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRONICS-CO-LT-6494906/finances/
samsung-electronics,2025,6681.774039,6605,1.162,37.4900,,,historical,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRONICS-CO-LT-6494906/finances/
samsung-electronics,2026,47681.460346,48642,1.975,5.1499,5.15,0.003,forecast,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRONICS-CO-LT-6494906/finances/
samsung-electronics,2027,68008.070470,69839,2.622,3.5868,3.59,0.089,forecast,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRONICS-CO-LT-6494906/finances/
samsung-electronics,2028,72780.099174,74497,2.305,3.4419,,,forecast,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRONICS-CO-LT-6494906/finances/
micron,2024,0.701634,0.7,0.233,1335.2555,,,historical,https://www.marketscreener.com/quote/stock/MICRON-TECHNOLOGY-INC-13639/finances/
micron,2025,7.630068,7.59,0.528,122.7853,,,historical,https://www.marketscreener.com/quote/stock/MICRON-TECHNOLOGY-INC-13639/finances/
micron,2026,73.216321,72.67,0.752,12.8920,13.2,2.334,forecast,https://www.marketscreener.com/quote/stock/MICRON-TECHNOLOGY-INC-13639/finances/
micron,2027,145.481688,149.9,2.948,6.2499,6.38,2.039,forecast,https://www.marketscreener.com/quote/stock/MICRON-TECHNOLOGY-INC-13639/finances/
micron,2028,168.920827,169.3,0.224,5.5461,,,forecast,https://www.marketscreener.com/quote/stock/MICRON-TECHNOLOGY-INC-13639/finances/
sk-hynix,2024,28731.319998,28322,1.445,56.1408,,,historical,https://www.marketscreener.com/quote/stock/SK-HYNIX-INC-6494929/finances/
sk-hynix,2025,62160.459407,60372,2.962,25.9490,,,historical,https://www.marketscreener.com/quote/stock/SK-HYNIX-INC-6494929/finances/
sk-hynix,2026,350282.493627,349657,0.179,4.6131,4.61,0.067,forecast,https://www.marketscreener.com/quote/stock/SK-HYNIX-INC-6494929/finances/
sk-hynix,2027,462566.507424,479654,3.562,3.3628,3.36,0.085,forecast,https://www.marketscreener.com/quote/stock/SK-HYNIX-INC-6494929/finances/
sk-hynix,2028,513756.986881,519029,1.016,3.1396,,,forecast,https://www.marketscreener.com/quote/stock/SK-HYNIX-INC-6494929/finances/
amd,2024,1.011211,1,1.121,442.5388,,,historical,https://www.marketscreener.com/quote/stock/AMD-ADVANCED-MICRO-DEVICE-19475876/finances/
amd,2025,2.662708,2.65,0.480,168.0620,,,historical,https://www.marketscreener.com/quote/stock/AMD-ADVANCED-MICRO-DEVICE-19475876/finances/
amd,2026,5.744652,5.729,0.273,78.1114,79.8,2.116,forecast,https://www.marketscreener.com/quote/stock/AMD-ADVANCED-MICRO-DEVICE-19475876/finances/
amd,2027,13.075851,12.9,1.363,34.6899,35.4,2.006,forecast,https://www.marketscreener.com/quote/stock/AMD-ADVANCED-MICRO-DEVICE-19475876/finances/
amd,2028,19.955589,18.98,5.140,22.4248,,,forecast,https://www.marketscreener.com/quote/stock/AMD-ADVANCED-MICRO-DEVICE-19475876/finances/
asml,2024,19.265803,19.24,0.134,73.1971,,,historical,https://www.marketscreener.com/quote/stock/ASML-HOLDING-N-V-12002973/finances/
asml,2025,24.321847,24.71,1.571,57.9808,,,historical,https://www.marketscreener.com/quote/stock/ASML-HOLDING-N-V-12002973/finances/
asml,2026,38.333351,37.88,1.197,37.2281,38.2,2.544,forecast,https://www.marketscreener.com/quote/stock/ASML-HOLDING-N-V-12002973/finances/
