company_id,valuation_date,price,price_currency,price_source_url,forecast_source_url,input_status,reporting_currency,price_to_reporting_fx,fx_source_url
nvidia,2026-09-03,225.92,USD,https://www.marketscreener.com/quote/stock/NVIDIA-CORPORATION-57355629/,https://www.marketscreener.com/quote/stock/NVIDIA-CORPORATION-57355629/finances/,available,USD,1,
tsmc,2026-09-03,2385,TWD,https://www.marketscreener.com/quote/stock/TSMC-TAIWAN-SEMICONDUCTOR-6492349/,https://www.marketscreener.com/quote/stock/TSMC-TAIWAN-SEMICONDUCTOR-6492349/finances/,available,TWD,1,
broadcom,2026-09-03,343.05,USD,https://www.marketscreener.com/quote/stock/BROADCOM-INC-42668543/,https://www.marketscreener.com/quote/stock/BROADCOM-INC-42668543/finances/,available,USD,1,
samsung-electronics,2026-09-03,250500,KRW,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRONICS-CO-LT-6494906/,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRONICS-CO-LT-6494906/finances/,available,KRW,1,
micron,2026-09-03,936.86,USD,https://www.marketscreener.com/quote/stock/MICRON-TECHNOLOGY-INC-13639/,https://www.marketscreener.com/quote/stock/MICRON-TECHNOLOGY-INC-13639/finances/,available,USD,1,
sk-hynix,2026-09-03,1613000,KRW,https://www.marketscreener.com/quote/stock/SK-HYNIX-INC-6494929/,https://www.marketscreener.com/quote/stock/SK-HYNIX-INC-6494929/finances/,available,KRW,1,
amd,2026-09-03,447.5,USD,https://www.marketscreener.com/quote/stock/AMD-ADVANCED-MICRO-DEVICE-19475876/,https://www.marketscreener.com/quote/stock/AMD-ADVANCED-MICRO-DEVICE-19475876/finances/,available,USD,1,
asml,2026-09-03,1410.2,EUR,https://www.marketscreener.com/quote/stock/ASML-HOLDING-N-V-12002973/,https://www.marketscreener.com/quote/stock/ASML-HOLDING-N-V-12002973/finances/,available,EUR,1,
cxmt,2026-09-03,54.32,CNY,https://www.marketscreener.com/quote/stock/CXMT-CORPORATION-213965109/,https://www.marketscreener.com/quote/stock/CXMT-CORPORATION-213965109/finances/,available,CNY,1,
intel,2026-09-03,89.1,USD,https://www.marketscreener.com/quote/stock/INTEL-CORPORATION-4829/,https://www.marketscreener.com/quote/stock/INTEL-CORPORATION-4829/finances/,available,USD,1,
lam-research,2026-09-03,288.32,USD,https://www.marketscreener.com/quote/stock/LAM-RESEARCH-CORPORATION-4877/,https://www.marketscreener.com/quote/stock/LAM-RESEARCH-CORPORATION-4877/finances/,available,USD,1,
